%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212695, 2017/09/27 23:0:50.97)
1 13 3.681300e-01 1.038516e+00 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.923650e-01 9.936728e-01 9.963200e-01 9.996806e-01 1.011472e+00 1.023928e+00 1.038516e+00 
2 25 3.430158e-01 1.044902e+00 9.847882e-01 9.847882e-01 9.847882e-01 9.847882e-01 9.847882e-01 9.847882e-01 9.847882e-01 9.850974e-01 9.858083e-01 9.868844e-01 9.876458e-01 9.883689e-01 9.899923e-01 9.945169e-01 9.981705e-01 1.001565e+00 1.013330e+00 1.033832e+00 1.044902e+00 
3 37 3.285387e-01 1.069890e+00 9.772721e-01 9.772721e-01 9.774766e-01 9.775233e-01 9.780347e-01 9.785869e-01 9.790212e-01 9.794300e-01 9.799311e-01 9.816840e-01 9.835743e-01 9.903299e-01 9.937224e-01 9.955045e-01 1.003818e+00 1.011947e+00 1.026438e+00 1.043850e+00 1.069890e+00 
4 49 3.254141e-01 1.073801e+00 9.700708e-01 9.700708e-01 9.703189e-01 9.710781e-01 9.715439e-01 9.722247e-01 9.724873e-01 9.741342e-01 9.765448e-01 9.798058e-01 9.855990e-01 9.875899e-01 9.918924e-01 9.979542e-01 1.007814e+00 1.019856e+00 1.034397e+00 1.061345e+00 1.073801e+00 
5 61 3.190741e-01 1.092801e+00 9.627859e-01 9.627859e-01 9.634573e-01 9.643406e-01 9.657554e-01 9.677343e-01 9.700793e-01 9.718217e-01 9.750648e-01 9.785680e-01 9.811309e-01 9.878055e-01 9.891883e-01 1.004599e+00 1.010039e+00 1.013674e+00 1.037598e+00 1.067725e+00 1.092801e+00 
6 73 3.073340e-01 1.102842e+00 9.560861e-01 9.560861e-01 9.574869e-01 9.596704e-01 9.616431e-01 9.624741e-01 9.660205e-01 9.678897e-01 9.710971e-01 9.732282e-01 9.803389e-01 9.836227e-01 9.883499e-01 1.003001e+00 1.005722e+00 1.014102e+00 1.045228e+00 1.061300e+00 1.102842e+00 
7 85 2.953808e-01 1.109071e+00 9.506364e-01 9.506364e-01 9.507745e-01 9.538672e-01 9.561988e-01 9.587071e-01 9.612011e-01 9.623213e-01 9.681088e-01 9.712499e-01 9.775728e-01 9.847302e-01 9.905358e-01 9.991988e-01 1.008752e+00 1.016458e+00 1.039299e+00 1.063771e+00 1.109071e+00 
8 97 2.910296e-01 1.128461e+00 9.438808e-01 9.438808e-01 9.451880e-01 9.472330e-01 9.511405e-01 9.525867e-01 9.572586e-01 9.598106e-01 9.656884e-01 9.660162e-01 9.761114e-01 9.806314e-01 9.901159e-01 9.953630e-01 1.009966e+00 1.016806e+00 1.049037e+00 1.066688e+00 1.128461e+00 
9 109 2.900880e-01 1.145443e+00 9.372328e-01 9.372328e-01 9.403410e-01 9.434038e-01 9.457801e-01 9.493375e-01 9.527475e-01 9.559277e-01 9.606853e-01 9.706863e-01 9.783404e-01 9.842381e-01 9.863730e-01 1.002673e+00 1.005372e+00 1.018167e+00 1.044757e+00 1.067069e+00 1.145443e+00 
10 121 2.952281e-01 1.176600e+00 9.316153e-01 9.316153e-01 9.354575e-01 9.380461e-01 9.408220e-01 9.445721e-01 9.480401e-01 9.519506e-01 9.549415e-01 9.650299e-01 9.736970e-01 9.801526e-01 9.905591e-01 9.997458e-01 1.004040e+00 1.029060e+00 1.040394e+00 1.070481e+00 1.176600e+00 
11 133 2.880186e-01 1.184867e+00 9.275194e-01 9.275194e-01 9.309366e-01 9.355881e-01 9.373923e-01 9.389429e-01 9.429608e-01 9.488928e-01 9.505109e-01 9.586091e-01 9.670715e-01 9.797008e-01 9.887860e-01 9.975476e-01 1.014601e+00 1.026308e+00 1.035379e+00 1.067457e+00 1.184867e+00 
12 145 2.747364e-01 1.189151e+00 9.231697e-01 9.231697e-01 9.246561e-01 9.312538e-01 9.330131e-01 9.360344e-01 9.389305e-01 9.435419e-01 9.508870e-01 9.554461e-01 9.650489e-01 9.733096e-01 9.857233e-01 9.919380e-01 1.012386e+00 1.023249e+00 1.030787e+00 1.063319e+00 1.189151e+00 
